id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review
225421,Very quiet apartment in a peaceful city quarter,Untergiesing-Harlaching,48.08084,11.55063,Entire home/apt,76.0,2,348,223,2024-12-12
227106,Modern and quiet apartment,Tudering-Riem,48.11064,11.70094,Entire home/apt,89.0,2,333,79,2024-12-06
228721,Room in 2-Room -Apartment,Au-Haidhausen,48.12085,11.57736,Private room,75.0,5,70,7,2024-10-31
228867,"CityHome,""Downtown"" 20% DISC./monthly! AC/Parking",Maxvorstadt,48.14468,11.56131,Entire home/apt,189.0,3,359,36,2024-07-29
230414,"Dear happy, experienced travellers,  Be happy!",Neuhausen-Nymphenburg,48.1574,11.54133,Private room,55.0,3,240,6,2019-11-02
232430,Modern loft apartment,Tudering-Riem,48.11636,11.6986,Entire home/apt,194.0,3,243,86,2024-11-15
240218,Directly loc.t.t. fiera& Metro,Tudering-Riem,48.12775,11.7013,Private room,98.0,2,162,72,2024-11-15
252987,"Beautiful, modern & quiet apartment in Schwabing",Schwabing-Freimann,48.15943,11.58208,Entire home/apt,131.0,2,209,40,2024-12-10
266180,room near Nymphenburg castle ground,Pasing-Obermenzing,48.15560959507555,11.47189009900693,Private room,50.0,2,331,209,2024-11-14
278289,"15 min to centre, 5 min to M.O.C",Schwabing-Freimann,48.19247,11.61328,Private room,47.0,3,155,89,2024-11-17
285938,Gemütliches Zimmer in  stilvoller Altbauwohnung,Neuhausen-Nymphenburg,48.14658,11.53331,Private room,55.0,2,70,209,2024-07-30
309196,Schönes Apartment im Dachgeschoss,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08367,11.52772,Private room,58.0,21,115,33,2024-11-22
311242,TOP Studio! 10 minutes to city centre & trade fair,Obergiesing,48.11723,11.58942,Entire home/apt,50.0,90,250,137,2024-11-28
315684,Roof Gallery Munich - Luxury flat,Hadern,48.12917,11.48554,Entire home/apt,205.0,4,238,129,2024-12-19
320196,"nice, bright room with shower",Ramersdorf-Perlach,48.09725,11.64717,Private room,45.0,7,32,98,2024-12-13
321542,Absolute quiet rooms in LOFT,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09307,11.52147,Private room,44.0,20,303,37,2024-10-01
406404,Wohnung München Schwabing 7OG,Schwabing-West,48.17723,11.58283,Entire home/apt,120.0,180,214,1,2012-11-17
473201,Sunny room with view on Pariser Platz/Haidhausen,Au-Haidhausen,48.12943,11.60082,Private room,69.0,2,180,83,2024-11-26
483093,cozy-apartment - *WLAN* PARKING,Ramersdorf-Perlach,48.09748,11.63993,Private room,65.0,2,261,214,2024-09-23
485613,Artsy Altbauwohnung in the Center of Munich,Neuhausen-Nymphenburg,48.14865,11.53318,Entire home/apt,125.0,4,47,56,2023-12-26
505041,centrally quiet 2 pieces flat February-April 25,Ludwigsvorstadt-Isarvorstadt,48.12446,11.56009,Entire home/apt,67.0,60,250,7,2022-04-30
526430,"Cosy place to stay near Octoberfest, Garage",Sendling-Westpark,48.11461,11.53505,Private room,175.0,1,274,96,2024-10-05
532047,"Nice, comfortable Studio w. balcony",Milbertshofen-Am Hart,48.1787,11.56812,Entire home/apt,50.0,30,55,2,2017-09-30
532049,Beautifully furnished 1-room Studio,Milbertshofen-Am Hart,48.17877,11.56679,Entire home/apt,50.0,30,37,2,2020-08-31
548958,"White Room, double Room, Messe Riem",Tudering-Riem,48.10904,11.68701,Private room,49.0,210,179,15,2019-10-31
556122,Ruhiges Gartenzimmer,Pasing-Obermenzing,48.15551,11.4699,Private room,69.0,1,49,233,2024-10-05
574143,Wohnen am Hirschgarten - Neuhausen,Neuhausen-Nymphenburg,48.14449,11.51333,Private room,40.0,2,0,124,2020-08-15
609851,Luxury 3 room flat at Olympiapark & English Garden,Maxvorstadt,48.15561,11.56736,Entire home/apt,296.0,5,61,2,2018-06-08
609895,Lovely gardenflat in Munich/Schwabing,Schwabing-Freimann,48.16719,11.58906,Entire home/apt,100.0,2,305,6,2024-12-09
625551,Grünes Ambiente in ruhiger Wohnlage,Pasing-Obermenzing,48.1597,11.45158,Private room,43.0,1,89,83,2024-12-08
633836,!Sunny Nice Apartment *60m²-Loft* !,Ramersdorf-Perlach,48.09789,11.63814,Entire home/apt,75.0,2,261,276,2024-10-26
649493,In the middle of Schwabing big room with balcony,Schwabing-West,48.16392,11.56915,Private room,99.0,1,365,37,2024-10-07
650265,Beautiful sunny city studio to relax!,Sendling,48.11295,11.54729,Entire home/apt,54.0,8,65,60,2024-11-10
664050,helles schönes Zimmer zentral,Maxvorstadt,48.15506,11.57184,Private room,73.0,1,165,134,2024-10-01
668844,wonderful attic near Oktoberfest,Laim,48.13155,11.49591,Private room,60.0,3,276,59,2024-03-21
669550,Cosy room in the heart of Munich,Altstadt-Lehel,48.13469,11.58675,Private room,65.0,1,118,300,2024-09-26
683263,Interim room in charming design apartment,Au-Haidhausen,48.12289,11.58519,Private room,95.0,5,11,53,2023-10-14
684700,HIGH-CLASS 2-RoomApartm,Ludwigsvorstadt-Isarvorstadt,48.13819,11.55466,Entire home/apt,325.0,2,70,72,2024-10-07
699108,Ruhiges WG Zimmer im Einfamilienhaus,Tudering-Riem,48.10681942536947,11.707131550072416,Private room,60.0,7,28,19,2014-10-07
700603,"Ladies only, please!",Schwabing-Freimann,48.16782,11.58614,Private room,55.0,1,48,261,2024-12-12
701673,Small room in a cosy house where I also live,Ramersdorf-Perlach,48.11806,11.62966,Private room,27.0,2,22,317,2024-12-20
702583,ruhige 2 Zimmer Wohnung nähe Oktoberfest,Ludwigsvorstadt-Isarvorstadt,48.12059,11.55908,Entire home/apt,250.0,2,351,97,2024-09-29
703539,"Golden Room,1.floor, near Fair Riem",Tudering-Riem,48.10535,11.70017,Private room,52.0,180,270,17,2019-04-13
710489,Luxury loft next to Marienplatz,Altstadt-Lehel,48.13898,11.57606,Entire home/apt,220.0,5,221,168,2024-12-07
710990,Nice Apartment Munich/Pasing,Pasing-Obermenzing,48.14634,11.45755,Private room,68.0,1,271,99,2024-10-06
759516,Appartment am Olympiapark,Schwabing-West,48.17163,11.56143,Entire home/apt,108.0,4,205,25,2024-10-21
779667,Modern flat nearby the subway,Maxvorstadt,48.15267,11.56491,Entire home/apt,169.0,3,245,431,2024-12-20
807951,"Holydayhouse near city,near Messe",Berg am Laim,48.1225,11.62644,Entire home/apt,110.0,6,119,117,2024-11-02
817975,Zimmer mit Aussicht,Altstadt-Lehel,48.13681,11.58743,Private room,97.0,1,171,71,2024-12-09
820826,Zimmer in Loftwohnung mit Dachterrasse,Au-Haidhausen,48.12724,11.60218,Private room,54.0,4,123,212,2024-12-18
837679,Sunny 2-room apartment in Sendling,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10049,11.53181,Entire home/apt,55.0,168,266,26,2024-07-26
894480,small guestroom in flat oktoberfest,Sendling-Westpark,48.10677,11.5075,Private room,27.0,1,80,25,2024-09-09
901225,Center * Calm * Bright * Garden apartment,Schwabing-West,48.161529541015625,11.572879791259766,Entire home/apt,101.0,2,75,41,2024-12-16
905799,"enjoy munic,center and relax garden",Maxvorstadt,48.15668,11.56317,Entire home/apt,126.0,14,262,114,2023-11-12
910680,CHARMING LOVESOME ALTBAU KAISERSTR!,Schwabing-West,48.16025,11.57744,Entire home/apt,129.0,4,353,1,2014-12-14
921010,Living in the City 2 / Goetheplatz,Ludwigsvorstadt-Isarvorstadt,48.12637,11.55745,Private room,49.0,2,0,426,2024-11-11
921158,Charming  sunny Vintage room Maxvorstadt,Maxvorstadt,48.15229,11.56408,Private room,99.0,2,269,398,2024-12-13
921287,Living in the City 1 / Goetheplatz,Ludwigsvorstadt-Isarvorstadt,48.12794,11.55787,Private room,49.0,2,0,295,2024-11-15
936808,Is this the paradise?,Maxvorstadt,48.15119,11.56647,Private room,72.0,5,120,51,2024-12-23
